!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 42 27 03.4697  084 41 19.5656  !
GP 42 25 28.4038  084 41 48.1132  !
GP 42 23 52.7987  084 42 13.1585  !
GP 42 22 16.7249  084 42 34.6874  !
GP 42 20 40.2533  084 42 52.6887  !
GP 42 19 03.4548  084 43 07.1534  !
GP 42 17 26.4005  084 43 18.0755  !
GP 42 15 49.1618  084 43 25.4515  !
GP 42 14 11.8098  084 43 29.2806  !
GP 42 12 34.4159  084 43 29.5644  !
GP 42 10 57.0512  084 43 26.3072  !
GP 42 09 19.7870  084 43 19.5160  !
GP 42 07 42.6941  084 43 09.2002  !
GP 42 06 05.8432  084 42 55.3717  !
GP 42 04 29.3049  084 42 38.0450  !
GP 42 02 53.1492  084 42 17.2372  !
GP 42 01 17.4461  084 41 52.9676  !
GP 41 59 42.2647  084 41 25.2582  !
GP 41 58 07.6742  084 40 54.1331  !
GP 41 56 33.7428  084 40 19.6192  !
GP 41 55 00.5385  084 39 41.7454  !
GP 41 53 28.1284  084 39 00.5430  !
GP 41 51 56.5792  084 38 16.0457  !
GP 41 50 25.9567  084 37 28.2893  !
GP 41 48 56.3262  084 36 37.3121  !
GP 41 47 27.7519  084 35 43.1541  !
GP 41 46 00.2974  084 34 45.8580  !
GP 41 44 34.0255  084 33 45.4682  !
GP 41 43 08.9978  084 32 42.0313  !
GP 41 41 45.2751  084 31 35.5959  !
GP 41 40 22.9173  084 30 26.2127  !
GP 41 39 01.9831  084 29 13.9342  !
GP 41 37 42.5302  084 27 58.8149  !
GP 41 36 24.6152  084 26 40.9110  !
GP 41 35 08.2935  084 25 20.2807  !
GP 41 33 53.6195  084 23 56.9839  !
GP 41 32 40.6460  084 22 31.0822  !
GP 41 31 29.4249  084 21 02.6388  !
GP 41 30 20.0067  084 19 31.7188  !
GP 41 29 12.4405  084 17 58.3885  !
GP 41 28 06.7742  084 16 22.7160  !
GP 41 27 03.0541  084 14 44.7709  !
GP 41 26 01.3254  084 13 04.6240  !
GP 41 25 01.6316  084 11 22.3477  !
GP 41 24 04.0148  084 09 38.0157  !
GP 41 23 08.5156  084 07 51.7029  !
GP 41 22 15.1731  084 06 03.4855  !
GP 41 21 24.0250  084 04 13.4408  !
GP 41 20 35.1071  084 02 21.6474  !
GP 41 19 48.4539  084 00 28.1849  !
GP 41 19 04.0982  083 58 33.1338  !
GP 41 18 22.0710  083 56 36.5758  !
GP 41 17 42.4021  083 54 38.5934  !
GP 41 17 05.1191  083 52 39.2699  !
GP 41 16 30.2482  083 50 38.6895  !
GP 41 15 57.8139  083 48 36.9373  !
GP 41 15 27.8389  083 46 34.0990  !
GP 41 15 00.3442  083 44 30.2607  !
GP 41 14 35.3491  083 42 25.5096  !
GP 41 14 12.8710  083 40 19.9332  !
GP 41 13 52.9257  083 38 13.6193  !
GP 41 13 35.5271  083 36 06.6566  !
GP 41 13 20.6875  083 33 59.1337  !
GP 41 13 08.4171  083 31 51.1400  !
GP 41 12 58.7247  083 29 42.7649  !
GP 41 12 51.6169  083 27 34.0980  !
GP 41 12 47.0987  083 25 25.2292  !
GP 41 12 45.1733  083 23 16.2485  !
GP 41 12 45.8421  083 21 07.2461  !
GP 41 12 49.1045  083 18 58.3119  !
GP 41 12 54.9583  083 16 49.5359  !
GP 41 13 03.3993  083 14 41.0082  !
GP 41 13 14.4218  083 12 32.8185  !
GP 41 13 28.0179  083 10 25.0564  !
GP 41 13 44.1782  083 08 17.8112  !
GP 41 14 02.8914  083 06 11.1719  !
GP 41 14 24.1444  083 04 05.2272  !
GP 41 14 47.9222  083 02 00.0653  !
GP 41 15 14.2083  082 59 55.7740  !
GP 41 15 42.9843  082 57 52.4404  !
GP 41 16 14.2299  082 55 50.1513  !
GP 41 16 47.9234  082 53 48.9926  !
GP 41 17 24.0410  082 51 49.0497  !
GP 41 18 02.5575  082 49 50.4071  !
GP 41 18 43.4458  082 47 53.1487  !
GP 41 19 26.6772  082 45 57.3573  !
GP 41 20 12.2214  082 44 03.1151  !
GP 41 21 00.0464  082 42 10.5031  !
GP 41 21 50.1185  082 40 19.6014  !
GP 41 22 42.4025  082 38 30.4891  !
GP 41 23 36.8617  082 36 43.2440  !
GP 41 24 33.4576  082 34 57.9430  !
GP 41 25 32.1504  082 33 14.6615  !
GP 41 26 32.8987  082 31 33.4740  !
GP 41 27 35.6596  082 29 54.4532  !
GP 41 28 40.3888  082 28 17.6710  !
GP 41 29 47.0405  082 26 43.1975  !
GP 41 30 55.5675  082 25 11.1015  !
GP 41 32 05.9215  082 23 41.4501  !
GP 41 33 18.0524  082 22 14.3091  !
GP 41 34 31.9092  082 20 49.7426  !
GP 41 35 47.4394  082 19 27.8129  !
GP 41 37 04.5894  082 18 08.5809  !
GP 41 38 23.3042  082 16 52.1054  !
